polish,english,type,level
funt (waluta lub jednostka wagi),pound,rzeczownik,A1
furgonetka,van,rzeczownik,A2
futro,fur,rzeczownik,B1
gabinet,study,rzeczownik,A1
gabinet lekarski,surgery,rzeczownik,B2
galeria,gallery,rzeczownik,A2
gang,gang,rzeczownik,B2
gapić się,stare,czasownik,B2
garaż,garage,rzeczownik,B1
gardło,throat,rzeczownik,B1
garnek,pot,rzeczownik,B1
garnitur,suit,rzeczownik,A2
gatunek (biologiczny),species,rzeczownik,B2
gatunek (np. literacki,genre,rzeczownik,B2
gaz,gas,rzeczownik,A2
gazeta,"newspaper, paper",rzeczownik,A1
gałąź,branch,rzeczownik,B1
gdy,when,przysłówek / zaimek / spójnik,A1
gdy,as,spójnik,A2
gdzie,where,przysłówek / spójnik,A1
gdzie indziej,elsewhere,przysłówek,B2
gdziekolwiek,anywhere,przysłówek,A2
gdziekolwiek,wherever,spójnik,B2
gdziekolwiek,anywhere,zaimek,A2
gdzieś,somewhere,przysłówek / zaimek,A2
generacja,generation,rzeczownik,B1
generować,generate,czasownik,B2
geografia,geography,rzeczownik,A1
gigant,giant,rzeczownik,B1
gigantyczny,giant,przymiotnik,B1
gitara,guitar,rzeczownik,A1
gleba,soil,rzeczownik,B1
glob,earth,rzeczownik,A2
globalny,global,przymiotnik,B1
gniew,anger,rzeczownik,B2
gniewny,angry,przymiotnik,A1
go,him,zaimek,A1
godny,worth,przymiotnik,B1
godzina,hour,rzeczownik,A1
godzina (przy podawaniu czasu),o'clock,przysłówek,A1
gol,goal,rzeczownik,A2
golf,golf,rzeczownik,A2
gorszy,worse,przymiotnik,A2
gorzej,worse,przysłówek,B1
gorzki,bitter,przymiotnik,B2
gorąco,heat,rzeczownik,A2
gorący,hot,przymiotnik,A1
gospodarczy,economic,przymiotnik,B1
gospodarka,economy,rzeczownik,B1
gospodarstwo,farm,rzeczownik,A1
gospodarstwo domowe,household,rzeczownik,B2
gospodarz,host,rzeczownik,B1
gotowanie,cooking,rzeczownik,A1
gotować,"boil, cook",czasownik,A2
gotowy,"prepared, ready",przymiotnik,B1
gotówka,cash,rzeczownik,A2
gościć,"entertain, host",czasownik,B1
gość,"guest, guy, visitor",rzeczownik,A2
gra,"game, play",rzeczownik,A1
gracz,player,rzeczownik,A1
granica,"border, divide",rzeczownik,B1
graniczyć,border,czasownik,B2
grant,grant,rzeczownik,B2
graty,stuff,rzeczownik,B1
grać,"act, play",czasownik,A2
grać główną rolę,star,czasownik,A2
gromadzić,gather,czasownik,B1
groza,horror,rzeczownik,B1
grozić,threaten,czasownik,B2
groźba,threat,rzeczownik,B2
grubiański,rude,przymiotnik,A2
gruby,"fat, thick",przymiotnik,A1
grudzień,December,rzeczownik,A1
grupa,group,rzeczownik,A1
grypa,flu,rzeczownik,A2
gryźć,bite,czasownik,B1
grzebać,bury,czasownik,B1
grzeczny,polite,przymiotnik,A2
guma,rubber,rzeczownik,B2
gumka do ścierania,rubber,rzeczownik,B2
gumowy,rubber,przymiotnik,B2
gust,taste,rzeczownik,A2
guzik,button,rzeczownik,A2
gwarancja,guarantee,rzeczownik,B2
gwarantować,guarantee,czasownik,B2
gwałtownie,rapidly,przysłówek,B2
gwałtowny,"rapid, sharp, violent",przymiotnik,B2
gwiazda,star,rzeczownik,A1
gwiazdorzyć,star,czasownik,A2
gwóźdź,nail,rzeczownik,B1
góra,"mountain, top",rzeczownik,A1
górny,"top, upper",przymiotnik,A2
górować,dominate,czasownik,B2
gęsty,thick,przymiotnik,A2
gładki,smooth,przymiotnik,B1
głodny,hungry,przymiotnik,A1
głos,voice,rzeczownik,A2
głos (w wyborach),vote,rzeczownik,B1
głosować,vote,czasownik,B1
głowa,head,rzeczownik,A1
głośnik,speaker,rzeczownik,A2
głośno,"loud, loudly",przysłówek,A2
głośność,volume,rzeczownik,B2
głośny,"loud, noisy",przymiotnik,A2
głupi,"silly, stupid",przymiotnik,B1
główna atrakcja,highlight,rzeczownik,B1
głównie,"largely, mainly, mostly",przysłówek,B2
główny,"capital, central, chief, main, major, primary, prime",przymiotnik,A1
głęboki,deep,przymiotnik,A2
głęboko,"deep, deeply",przysłówek,B1
głębokość,depth,rzeczownik,B2
haczyk,catch,rzeczownik,B2
halo,hey,wykrzyknik,A1
handel,trade,rzeczownik,B1
handlować,trade,czasownik,B1
handlowy,commercial,przymiotnik,B1
harmonogram,schedule,rzeczownik,A2
hałas,noise,rzeczownik,A2
hałaśliwy,noisy,przymiotnik,A2
hej,hey,wykrzyknik,A1
helikopter,helicopter,rzeczownik,B1
herbata,tea,rzeczownik,A1
herbatnik,biscuit,rzeczownik,A2
historia,"history, story",rzeczownik,A1
historyczny,historic,przymiotnik,B1
historyczny (dotyczący historii),historical,przymiotnik,B1
hobby,hobby,rzeczownik,A1
hodować,"farm, grow",czasownik,A2
hojny,generous,przymiotnik,B1
hokej,hockey,rzeczownik,A2
hol,hall,rzeczownik,A2
honor,honour,rzeczownik,B2
honorować,honour,czasownik,B2
horror,horror,rzeczownik,B1
hotel,hotel,rzeczownik,A1
hrabstwo,county,rzeczownik,B2
huk,crash,rzeczownik,B2
humor,"humour, mood",rzeczownik,B2
humorystyczny,humorous,przymiotnik,B2
huragan,hurricane,rzeczownik,B1
i,and,spójnik,A1
ich,their,określnik,A1
ich,them,zaimek,A1
ich (zaimek dzierżawczy),theirs,zaimek,B1
idea,idea,rzeczownik,A1
idealnie,perfectly,przysłówek,B1
idealny,"ideal, perfect",przymiotnik,A2
ideał,ideal,rzeczownik,B2
identyfikować,identify,czasownik,A2
ignorować,ignore,czasownik,B1
igła,needle,rzeczownik,B1
ilekroć,whenever,spójnik,B1
ilość,"amount, number, quantity",rzeczownik,A2
ilustracja,illustration,rzeczownik,B2
ilustrować,illustrate,czasownik,B2
im,them,zaimek,A1
imigrant,immigrant,rzeczownik,B1
imię,name,rzeczownik,A1
imponować,impress,czasownik,B2
imponujący,impressive,przymiotnik,B1
import,import,rzeczownik,B1
importować,import,czasownik,B1
imprezy),venue,rzeczownik,B2
inaczej,"differently, otherwise",przysłówek,A2
incydent,incident,rzeczownik,B2
indywidualny,individual,przymiotnik,A2
infekcja,infection,rzeczownik,B2
informacja,information,rzeczownik,A1
informacja zwrotna,feedback,rzeczownik,B2
informacje,information,rzeczownik,A1
informatyka,IT,rzeczownik,B1
informować,inform,czasownik,B2
inicjatywa,initiative,rzeczownik,B2
inny,another,określnik,A1
inny,different,przymiotnik,A1
inny,other,przymiotnik / zaimek,A1
inny,else,przysłówek,A1
inny,another,zaimek,A1
inspirować,inspire,czasownik,B2
instalować,install,czasownik,B2
instancja,instance,rzeczownik,B2
instrukcja,instruction,rzeczownik,A2
instruktor,instructor,rzeczownik,A2
instrument,instrument,rzeczownik,A2
instytucja,institution,rzeczownik,B2
instytut,institute,rzeczownik,B2
inteligencja,intelligence,rzeczownik,B1
inteligentny,"intelligent, smart",przymiotnik,A2
intencja,intention,rzeczownik,B1
intensywny,intense,przymiotnik,B2
interesować,interest,czasownik,A1
interesujący,interesting,przymiotnik,A1
interesy,business,rzeczownik,A1
internet,internet,rzeczownik,A1
internetowy,online,przymiotnik,A1
interpretować,interpret,czasownik,B2
inwestować,invest,czasownik,B1
inwestycja,investment,rzeczownik,B2
inżynier,engineer,rzeczownik,A2
inżynieria,engineering,rzeczownik,B1
irytować,annoy,czasownik,B1
irytujący,annoying,przymiotnik,B1
istnienie,existence,rzeczownik,B2
istnieć,exist,czasownik,A2
istota,"being, creature, substance",rzeczownik,B2
istotnie,indeed,przysłówek,B1
istotny,"crucial, important, relevant",przymiotnik,B2
iść,go,czasownik,A1
iść pieszo,walk,czasownik,A1
iść za,follow,czasownik,A1
ja,I,zaimek,A1
ja sam,myself,zaimek,A2
jabłko,apple,rzeczownik,A1
jajko,egg,rzeczownik,A1
jak,like (similar),przyimek,A1
jak,how,przysłówek,A1
jak tylko,once,spójnik,B1
jaki,what,zaimek / określnik,A1
jakieś,some,określnik / zaimek,A1
jakikolwiek,any,określnik,A1
jakikolwiek,any,zaimek,A1
jakikolwiek,whatever,zaimek / określnik,B1
jakiś,a,przedimek,A1
jako,as,przyimek,A1
jakość,quality,rzeczownik,A2
jard (jednostka),yard,rzeczownik,B1
jasno,clearly,przysłówek,A2
jasnowłosy,blonde,przymiotnik,A1
jasny,"bright, clear, definite, light (lamp), plain",przymiotnik,A2
jasny (o cerze,fair,przymiotnik,A2
jazz,jazz,rzeczownik,A2
jechać,go,czasownik,A1
jechać (na czymś),ride,czasownik,A1
jeden,one,liczebnik / określnik,A1
jeden,a,przedimek,A1
jeden,one,zaimek,A1
jeden i drugi,either,określnik / zaimek,A2
jedenaście,eleven,liczebnik,A1
jedna trzecia,third,rzeczownik,A2
jednak,however,przysłówek,A1
jednak,yet,spójnik,B2
jednak,though,spójnik / przysłówek,B1
jednakowo,equally,przysłówek,B1
jednakże,"however, nevertheless",przysłówek,A1
jednostka,"individual, unit",rzeczownik,A2
jedwab,silk,rzeczownik,B2
jedynie,only,przysłówek,A1
jedyny,only,przymiotnik,A1
jedzenie,"feed, food",rzeczownik,B2
jego,"his, its",określnik,A1
jego,him,zaimek,A1
jego (zaimek dzierżawczy),his,zaimek,A2
jej,her,zaimek / określnik,A1
jej (do it),its,określnik,A1
jej (zaimek dzierżawczy),hers,zaimek,A2
jemu,him,zaimek,A1
jesień,autumn,rzeczownik,A1
jesień (AmE),fall,rzeczownik,A2
jeszcze,"else, yet",przysłówek,A1
jezioro,lake,rzeczownik,A2
jeśli,if,spójnik,A1
jeśli nie,unless,spójnik,B1
jeść,eat,czasownik,A1
jeździć na nartach,ski,czasownik,A2
jeździć rowerem,cycle,czasownik,A2
jeżeli,if,spójnik,A1
junior,junior,przymiotnik,B2
jutro,tomorrow,przysłówek / rzeczownik,A1
już,already,przysłówek,A2
już (nie),any more,przysłówek,A2
już (w pytaniach),yet,przysłówek,A2
ją,her,zaimek / określnik,A1
jądro,core,rzeczownik,B2
jądrowy,nuclear,przymiotnik,B1
język,language,rzeczownik,A1
język (organ),tongue,rzeczownik,B1
kabel,cable,rzeczownik,B2
kadra,staff,rzeczownik,B1
kamera,camera,rzeczownik,A1
kamień,"rock (stone), stone",rzeczownik,A2
kampania,campaign,rzeczownik,B1
kampus,campus,rzeczownik,B1
kanapka,sandwich,rzeczownik,A1
kanał,channel,rzeczownik,B1
kandydat,candidate,rzeczownik,B1
kapelusz,hat,rzeczownik,A1
kapitan,captain,rzeczownik,B1
kapłan,priest,rzeczownik,B1
kara,punishment,rzeczownik,B1
karać,punish,czasownik,B1
kariera,career,rzeczownik,A1
karmić,feed,czasownik,A2
karny,criminal,przymiotnik,B1
karo (w kartach),diamond,rzeczownik,B1
karta,card,rzeczownik,A1
karta dań,menu,rzeczownik,A1
katastrofa,disaster,rzeczownik,A2
kategoria,category,rzeczownik,B1
kawa,coffee,rzeczownik,A1
kawalerka,studio,rzeczownik,B1
kawał,"joke, trick",rzeczownik,A2
kawałek,"bit, piece, slice",rzeczownik,A2
kawiarnia,cafe,rzeczownik,A1
kałuża,pool,rzeczownik,A1
każdy,"all, each, every",określnik,A1
każdy,each,przysłówek,A1
każdy,"each, everybody",zaimek,A1
kelner,waiter,rzeczownik,A1
kibic,supporter,rzeczownik,B1
kiedy,when,przysłówek / zaimek / spójnik,A1
kiedy już,once,spójnik,B1
kiedykolwiek,ever,przysłówek,A1
kiedykolwiek,whenever,spójnik,B1
kiedyś,once,przysłówek,A1
kieliszek,glass,rzeczownik,A1
kiepski,poor,przymiotnik,A1
kierować,"address, direct",czasownik,B2
kierować (się),head,czasownik,B1
kierować do,refer,czasownik,A2
kierowca,driver,rzeczownik,A1
kierownictwo,leadership,rzeczownik,B2
kierowniczy,executive,przymiotnik,B2
kierownik,manager,rzeczownik,A2
kierunek,direction,rzeczownik,A2
kieszeń,pocket,rzeczownik,A2
kij,stick (piece of wood),rzeczownik,B1
kilka,few,określnik / przymiotnik,A1
kilka,several,określnik / zaimek,A2
kilka,couple,rzeczownik,A2
kilka osób,few,zaimek,A1
kilkanaście,several,określnik / zaimek,A2
kilometr,kilometre,rzeczownik,A1
kino,cinema,rzeczownik,A1
kiść,bunch,rzeczownik,B2
klamka,handle,rzeczownik,B2
klasa,"class, grade",rzeczownik,A1
klasyczny,classic,przymiotnik,B2
klasyczny (np. muzyka),classical,przymiotnik,A2
klasyfikować (się),rank,czasownik,B2
klasyk,classic,rzeczownik,B2
klatka,frame,rzeczownik,B1
klatka piersiowa,chest,rzeczownik,B1
klauzula,clause,rzeczownik,B1
klawiatura,keyboard,rzeczownik,B1
klawisz,key,rzeczownik,A1
klient,"client, customer",rzeczownik,B1
klikać,click,czasownik,B1
kliknięcie,click,rzeczownik,B1
klimacie),mild,przymiotnik,B1
klimat,climate,rzeczownik,A2
klub,club,rzeczownik,A1
klucz,key,rzeczownik,A1
kluczowy,"core, critical, crucial, key",przymiotnik,B2
klęska,"defeat, disaster",rzeczownik,B2
kobiecy,female,przymiotnik,A2
kobieta,"female, woman",rzeczownik,A2
kochany,dear,przymiotnik,A1
kochać,love,czasownik,A1
kod,code,rzeczownik,A2
kogo,whom,zaimek,B2
kogo (bardziej formalne),whom,zaimek,B2
kojarzyć,"associate, connect",czasownik,B2
kolacja,dinner,rzeczownik,A1
kolano,knee,rzeczownik,A2
kolega,fellow,przymiotnik,B2
kolega z pracy,colleague,rzeczownik,A2
kolegium,college,rzeczownik,A1
kolej,"railway, turn",rzeczownik,A2
kolejka,"line, queue",rzeczownik,A1
kolejność,"order, sequence",rzeczownik,A1
kolejny,another,określnik,A1
kolejny,"further, next",przymiotnik,A2
kolejny,another,zaimek,A1
kolekcja,collection,rzeczownik,B1
kolekcjonować,collect,czasownik,A2
kolidować,conflict,czasownik,B2
kolor,colour,rzeczownik,A1
kolor pomarańczowy,orange,rzeczownik,A1
kolor żółty,yellow,rzeczownik,A1
kolorować,colour,czasownik,B1
kolorowy,coloured,przymiotnik,B1
kolumna,column,rzeczownik,A2
kombinacja,combination,rzeczownik,B2
komedia,comedy,rzeczownik,A2
komentarz,comment,rzeczownik,A2
komentować,comment,czasownik,B1
komercyjny,commercial,przymiotnik,B1
komfort,comfort,rzeczownik,B2
komisja,committee,rzeczownik,B2
komitet,committee,rzeczownik,B2
kompleks (budynków),complex,rzeczownik,B2
komplet,set (group),rzeczownik,B1
kompletny,complete,przymiotnik,A1
komponent,component,rzeczownik,B2
komputer,computer,rzeczownik,A1
komunikacja,communication,rzeczownik,B1
komunikat,"announcement, statement",rzeczownik,B1
komunikować się,communicate,czasownik,A2
komórka,cell,rzeczownik,B2
koncentracja,concentration,rzeczownik,B2
koncentrować,"concentrate, focus",czasownik,B1
koncentrować się,centre,czasownik,B1
koncepcja,concept,rzeczownik,B2
koncert,concert,rzeczownik,A1
kondycja,fitness,rzeczownik,B1
konferencja,conference,rzeczownik,A2
konflikt,conflict,rzeczownik,B2
koniec,over,przysłówek,A1
koniec,"close, end, finish",rzeczownik,B2
koniecznie,necessarily,przysłówek,B1
konieczny,necessary,przymiotnik,A2
konkretnie,specifically,przysłówek,B1
konkretny,"certain, particular, specific",przymiotnik,A2
konkurencja,competition,rzeczownik,A2
konkurencyjny,competitive,przymiotnik,B1
konkurent,competitor,rzeczownik,B1
konkurować,compete,czasownik,A2
konkurs,"competition, contest",rzeczownik,A2
konsekwencja,consequence,rzeczownik,B1
konsekwentny,consistent,przymiotnik,B2
konserwatysta,conservative,rzeczownik,B2
konserwatywny,conservative,przymiotnik,B2
konserwować,"maintain, preserve",czasownik,B2
konstrukcja,"construction, structure",rzeczownik,B2
konstruować,"construct, structure",czasownik,B2
konsument,consumer,rzeczownik,B1
konsumować,consume,czasownik,B1
kontakt,contact,rzeczownik,B1
kontaktować się,contact,czasownik,B1
kontekst,context,rzeczownik,A2
kontener,container,rzeczownik,B1
konto,account,rzeczownik,B1
kontrakt,contract,rzeczownik,B2
kontrast,contrast,rzeczownik,B1
kontrastować,contrast,czasownik,B1
kontrola,"check, control",rzeczownik,A2
kontrolować,"check, control",czasownik,A1
kontuzja,injury,rzeczownik,A2
kontuzjowany,injured,przymiotnik,B1
kontynent,continent,rzeczownik,A2
kontynuować,continue,czasownik,A2
konwertować,convert,czasownik,B2
kopalnia,mine,rzeczownik,B1
kopać,kick,czasownik,B1
kopać (w ziemi),dig,czasownik,B2
kopia,copy,rzeczownik,A2
kopiować,copy,czasownik,A2
kopnięcie,kick,rzeczownik,B1
kopnąć,kick,czasownik,B1
korporacyjny,corporate,przymiotnik,B2
kort,court,rzeczownik,B1
korygować,revise,czasownik,B1
korytarz,"hall, passage",rzeczownik,A2
korzeń,root,rzeczownik,B2
korzystać,"benefit, use",czasownik,B1
korzyść,benefit,rzeczownik,A2
kosmos,space,rzeczownik,A1
kostium,"costume, suit",rzeczownik,B1
kostka,ankle,rzeczownik,A2
kosz,bin,rzeczownik,A2
koszmar,nightmare,rzeczownik,B2
koszt,"cost, expense",rzeczownik,A1
kosztorys,estimate,rzeczownik,B2
kosztować,"cost, sample",czasownik,A1
koszula,shirt,rzeczownik,A1
koszulka,T-shirt,rzeczownik,A1
koszykówka,basketball,rzeczownik,A2
kot,cat,rzeczownik,A1
koło,"circle, wheel",rzeczownik,A2
koń,horse,rzeczownik,A1
końcowy,final,przymiotnik,A1
kończyć,"complete, conclude, finish",czasownik,A1
kończyć (się),end,czasownik,A1
końcówka,point,rzeczownik,A1
kościół,church,rzeczownik,A2
kość,bone,rzeczownik,A2
kraina,region,rzeczownik,A2
kraj,country,rzeczownik,A1
krajobraz,landscape,rzeczownik,B2
krajobraz wiejski,countryside,rzeczownik,B1
krajowy,domestic,przymiotnik,B2
kraksa,crash,rzeczownik,B2
krawat,tie,rzeczownik,A2
krawędź,edge,rzeczownik,B1
kraść,steal,czasownik,A2
kreatywny,creative,przymiotnik,A2
kredyt,"credit, loan",rzeczownik,A2
krem,cream,rzeczownik,A1
kremowy,cream,przymiotnik,B1
kreskówka,cartoon,rzeczownik,A2
krew,blood,rzeczownik,A2
krewna,relative,rzeczownik,B1
krewny,"relation, relative",rzeczownik,B1
kreślić,plot,czasownik,B2
kroczyć,step,czasownik,B2
kroić,cut,czasownik,A1
kroić na plastry,slice,czasownik,B1
krok,"pace, step",rzeczownik,B2
kropka,spot,rzeczownik,B1
kropka (AmE),period,rzeczownik,A1
kropla,drop,rzeczownik,B1
krowa,cow,rzeczownik,A1
kryterium,criterion,rzeczownik,B2
krytyczny,critical,przymiotnik,B2
krytyk,critic,rzeczownik,B2
krytyka,criticism,rzeczownik,B2
krytykować,criticize,czasownik,B2
kryzys,crisis,rzeczownik,B2
krzak,bush,rzeczownik,B2
krzesło,chair,rzeczownik,A1
krzew,bush,rzeczownik,B2
krzyczeć,"cry, scream, shout",czasownik,A2
krzyk,"cry, scream, shout",rzeczownik,B2
krzywa,curve,rzeczownik,B2
krzywda,"harm, hurt, wrong",rzeczownik,B2
krzywdzić,harm,czasownik,B2
krzywy,bent,przymiotnik,B2
krzyż,cross,rzeczownik,A2
król,king,rzeczownik,A2
królewski,royal,przymiotnik,B1
królowa,queen,rzeczownik,A2
krótki,"brief, short",przymiotnik,B2
krąg,"circle, ring (object)",rzeczownik,A2
krążyć,circle,czasownik,A2
kręcony (o włosach),curly,przymiotnik,A2
ksiądz,priest,rzeczownik,B1
książka,book,rzeczownik,A1
książę,prince,rzeczownik,B1
księżniczka,princess,rzeczownik,B1
księżyc,moon,rzeczownik,A2
kształcić,educate,czasownik,B1
kształt,"form, shape",rzeczownik,A1
kształtować,shape,czasownik,B2
kto,who,zaimek,A1
ktokolwiek,"anybody, anyone",zaimek,A2
ktoś,"one, somebody, someone",zaimek,A1
który,which,zaimek / określnik,A1
który,that,zaimek / spójnik,A1
któryś z dwóch,either,określnik / zaimek,A2
ku (również jako partyuła bezokolicznika),to,przyimek,A1
kucharz,cook,rzeczownik,A2
kuchenka,cooker,rzeczownik,A2
kuchnia,kitchen,rzeczownik,A1
kula,bullet,rzeczownik,B2
kultura,culture,rzeczownik,A1
kulturowy,cultural,przymiotnik,B1
kupować,"buy, purchase",czasownik,A1
kuracja,"cure, treatment",rzeczownik,B2
kurczak,chicken,rzeczownik,A1
kurczyć się,contract,czasownik,B2
kurort,resort,rzeczownik,B2
kurs,course,rzeczownik,A1
kurtka,"coat, jacket",rzeczownik,A1
kurtyna,curtain,rzeczownik,B1
kurz,dust,rzeczownik,B1
kuzyn,cousin,rzeczownik,A1
kuzynka,cousin,rzeczownik,A1
kwadrans,quarter,rzeczownik,A1
kwadrat,square,rzeczownik,A2
kwadratowy,square,przymiotnik,A2
kwalifikacja,qualification,rzeczownik,B1
kwalifikować się,qualify,czasownik,B1
kwestia,"issue, question",rzeczownik,B1
kwestionować,"challenge, contest, question",czasownik,B2
kwiat,flower,rzeczownik,A1
kwiecień,April,rzeczownik,A1
kwota,"amount, sum",rzeczownik,A2
kąpiel,"bath, swim",rzeczownik,A1
kąt,"angle, corner",rzeczownik,B2
kęs,bite,rzeczownik,B1
kęsać,bite,czasownik,B1
kłamać,lie (untruth),czasownik,B1
kłamstwo,lie (untruth),rzeczownik,B1
kłaść,"lay, place, put",czasownik,B1
kłaść (np. do łóżka),lay,czasownik,B1
kłopot,trouble,rzeczownik,A2
kłócić się,argue,czasownik,A2
kłódka,lock,rzeczownik,A2
kłótnia,"argument, fight",rzeczownik,A2
laboratorium,"lab, laboratory",rzeczownik,A2
lada,bar,rzeczownik,A2
lampa,"lamp, light (lamp)",rzeczownik,A2
lampa błyskowa,flash,rzeczownik,B2
laptop,laptop,rzeczownik,A2
las,"forest, wood",rzeczownik,A2
latający,flying,przymiotnik,A2
latanie,flying,rzeczownik,A2
latać,fly,czasownik,A1
lato,summer,rzeczownik,A1
lać (o deszczu),pour,czasownik,B1
lecz,but,spójnik,A1
leczenie,treatment,rzeczownik,B1
leczyć,"cure, treat",czasownik,B2
ledwie,hardly,przysłówek,B1
ledwo,hardly,przysłówek,B1
legalny,legal,przymiotnik,B1
lek,"drug, medicine",rzeczownik,A2
lekarstwo,cure,rzeczownik,B2
lekarz,doctor,rzeczownik,A1
lekarza),fee,rzeczownik,B2
lekceważyć,discount,czasownik,B2
lekcja,"class, lesson",rzeczownik,A1
lekki,light (weight),przymiotnik,A2
lekkoatleta,athlete,rzeczownik,A2
leniwy,lazy,przymiotnik,A2
lepiej,better,przysłówek,A2
lepki,sticky,przymiotnik,B2
lepszy,better,przymiotnik,A1
lew,lion,rzeczownik,A1
lewa strona,left,rzeczownik,A1
lewy,left,przymiotnik,A1
leżeć,lie (recline),czasownik,A1
licencja,licence,rzeczownik,B2
liczba,"figure, number",rzeczownik,A2
liczba punktów,score,rzeczownik,A2
liczenie,count,rzeczownik,B1
liczny,"multiple, numerous",przymiotnik,B2
liczyć,"count, figure, number",czasownik,A2
liczyć się,matter,czasownik,A2
lider,leader,rzeczownik,A2
liga,league,rzeczownik,B2
limit,limit,rzeczownik,B1
lina,rope,rzeczownik,B1
linia,line,rzeczownik,A1
linia kolejowa,railway,rzeczownik,A2
linia lotnicza,airline,rzeczownik,A2
link,link,rzeczownik,A2
lipiec,July,rzeczownik,A1
list,letter,rzeczownik,A1
lista,list,rzeczownik,A1
listopad,November,rzeczownik,A1
litera,letter,rzeczownik,A1
literatura,literature,rzeczownik,B1
literować,spell,czasownik,A1
litość,sympathy,rzeczownik,B2
liść,leaf,rzeczownik,B1
lody,ice cream,rzeczownik,A1
lodówka,fridge,rzeczownik,A2
logiczny,logical,przymiotnik,B2
lokalizacja,location,rzeczownik,B1
lokalizować,locate,czasownik,B1
lokalny,local,przymiotnik,A1
lokalny bar,local,rzeczownik,B1
lord,lord,rzeczownik,B2
los,fortune,rzeczownik,B2
lot,flight,rzeczownik,A1
lotnisko,airport,rzeczownik,A1
lub,or,spójnik,A1
lubić,"enjoy, like (pleasant)",czasownik,A1
ludność,population,rzeczownik,A2
ludowy,folk,przymiotnik,B1
ludzie,"folk, people",rzeczownik,B1
ludzki,human,przymiotnik,A2
luka,gap,rzeczownik,A2
luksus,luxury,rzeczownik,B1
luksusowy,fancy,przymiotnik,B1
lunch,lunch,rzeczownik,A1
lustro,mirror,rzeczownik,A2
luty,February,rzeczownik,A1
luźny,loose,przymiotnik,B2
lód,ice,rzeczownik,A1
ląd,land,rzeczownik,A1
lądować,land,czasownik,A2
lęk,fear,rzeczownik,A2
lękowy,anxious,przymiotnik,B2
lśniący,shiny,przymiotnik,B1
machanie,wave,rzeczownik,A2
machać,wave,czasownik,B1
magazyn,"magazine, store",rzeczownik,A1
magazynować,store,czasownik,B1
magia,magic,rzeczownik,B1
magiczny,magic,przymiotnik,B1
maj,May,rzeczownik,A1
majtki,pants,rzeczownik,A2
mający mdłości,sick,przymiotnik,A1
mający szczęście,lucky,przymiotnik,A2
majątek,"estate, fortune, wealth",rzeczownik,B2
maksimum,maximum,rzeczownik,B2
maksymalny,maximum,przymiotnik,B2
malarstwo,painting,rzeczownik,A1
malarz,painter,rzeczownik,A2
maleńki,tiny,przymiotnik,B1
malować,paint,czasownik,A1
mama,mum,rzeczownik,A1
mapa,map,rzeczownik,A1
mapować,map,czasownik,B2
marchewka,carrot,rzeczownik,A1
marka,"brand, make",rzeczownik,B1
marketing,marketing,rzeczownik,B1
marnotrawstwo,waste,rzeczownik,B1
marnować,waste,czasownik,B1
martwić,trouble,czasownik,B2
martwić się,worry,czasownik,A2
martwy,dead,przymiotnik,A2
marynarka,jacket,rzeczownik,A1
marynarz,sailor,rzeczownik,B1
marzec,March,rzeczownik,A1
marzenie,dream,rzeczownik,A2
marzyć,dream,czasownik,A2
masa,mass,rzeczownik,B2
masowy,mass,przymiotnik,B2
masywny,massive,przymiotnik,B2
maszyna,machine,rzeczownik,A1
masło,butter,rzeczownik,A1
matematyka,mathematics,rzeczownik,A2
materia,matter,rzeczownik,A2
materialny,material,przymiotnik,B2
materiał,"material, stuff",rzeczownik,A2
matka,mother,rzeczownik,A1
matma,maths,rzeczownik,A2
mało,few,określnik / przymiotnik,A1
mało,little,określnik / zaimek,A1
mało,little,przysłówek,A2
mało prawdopodobny,unlikely,przymiotnik,B1
małpa,monkey,rzeczownik,A2
mały,"little, small",przymiotnik,A1
małżeństwo,marriage,rzeczownik,B1
meble,furniture,rzeczownik,A2
mecz,"game, match",rzeczownik,A1
media,media,rzeczownik,A2
medium,medium,rzeczownik,B2
medycyna,medicine,rzeczownik,A2
medyczny,medical,przymiotnik,A2
melodia,tune,rzeczownik,B2
menedżer,manager,rzeczownik,A2
mentalny,mental,przymiotnik,B1
menu,menu,rzeczownik,A1
metal,metal,rzeczownik,A2
metka,label,rzeczownik,B1
metoda,"method, technique",rzeczownik,A2
metr,metre,rzeczownik,A1
metro (Londyn),tube,rzeczownik,B1
mi,me,zaimek,A1
miara,measure,rzeczownik,B1
miasto,city,rzeczownik,A1
miasto (mniejsze niż city),town,rzeczownik,A1
miejsce,"place, room, site, space, spot",rzeczownik,A1
miejsce (spotkania,venue,rzeczownik,B2
miejsce docelowe,destination,rzeczownik,B1
miejsce siedzące,seat,rzeczownik,A2
miejsce zamieszkania,home,rzeczownik,A1
miejsce zdarzenia,scene,rzeczownik,A2
miejsce),past,przyimek,A1
miejscowy,local,przymiotnik,A1
miejski,urban,przymiotnik,B2
mierzyć,measure,czasownik,B1
mierzyć czas,time,czasownik,B2
miesiąc,month,rzeczownik,A1
mieszanina,mixture,rzeczownik,B1
mieszanka,mix,rzeczownik,B1
mieszany,mixed,przymiotnik,B2
mieszać,"combine, mix",czasownik,B1
mieszkalnictwo,housing,rzeczownik,B2
mieszkanie,"apartment, flat",rzeczownik,A1
mieszkaniec,"local, resident",rzeczownik,B1
mieszkać,live (dwell),czasownik,A1
mieć,have,czasownik,A1
